"""id""",lat,lon,"""name""",street_no,"""street_name""","""street_type""","""suburb""",postcode,"""sport""","""type""","""lga""","""address"""
"""BAYSID11240""",-37.994447,145.032701,"""Beaumaris Life Saving Club""",,"""Beach""","""Road""","""BEAUMARIS""","""3193""","""Surf Life Saving""","""outdoor""","""BAYSIDE""","""Beach Road, BEAUMARIS 3193"""
"""BAYSID12343""",-37.983088,145.035302,"""Beaumaris Reserve""",,"""Reserve""","""Road""","""BEAUMARIS""","""3193""","""Cricket""","""outdoor""","""BAYSIDE""","""Reserve Road, BEAUMARIS 3193"""
"""BAYSID12343""",-37.983088,145.035302,"""Beaumaris Reserve""",,"""Reserve""","""Road""","""BEAUMARIS""","""3193""","""Football""","""outdoor""","""BAYSIDE""","""Reserve Road, BEAUMARIS 3193"""
"""BAYSID12343""",-37.983088,145.035302,"""Beaumaris Reserve""",,"""Reserve""","""Road""","""BEAUMARIS""","""3193""","""Playground""","""outdoor""","""BAYSIDE""","""Reserve Road, BEAUMARIS 3193"""
"""BAYSID12343""",-37.983088,145.035302,"""Beaumaris Reserve""",,"""Reserve""","""Road""","""BEAUMARIS""","""3193""","""Soccer""","""outdoor""","""BAYSIDE""","""Reserve Road, BEAUMARIS 3193"""
"""BAYSID12343""",-37.983088,145.035302,"""Beaumaris Reserve""",,"""Reserve""","""Road""","""BEAUMARIS""","""3193""","""Tennis""","""outdoor""","""BAYSIDE""","""Reserve Road, BEAUMARIS 3193"""
"""BAYSID11241""",-37.974606,145.014612,"""Black Rock Life Saving Club""",,"""Beach""","""road""","""BLACK ROCK""","""3193""","""Surf Life Saving""","""outdoor""","""BAYSIDE""","""Beach road, BLACK ROCK 3193"""
"""BAYSID12358""",-37.981983,145.026046,"""Donald McDonald Reserve""",,"""Haydens""","""Road""","""BEAUMARIS""","""3193""","""Cricket""","""outdoor""","""BAYSIDE""","""Haydens Road, BEAUMARIS 3193"""
"""BAYSID12358""",-37.981983,145.026046,"""Donald McDonald Reserve""",,"""Haydens""","""Road""","""BEAUMARIS""","""3193""","""Football""","""outdoor""","""BAYSIDE""","""Haydens Road, BEAUMARIS 3193"""
"""BAYSID12367""",-37.991231,145.038711,"""F L Yott Reserve""",,"""Martin""","""Street""","""BEAUMARIS""","""3193""","""Lawn Bowls""","""outdoor""","""BAYSIDE""","""Martin Street, BEAUMARIS 3193"""
